ADDER,ADDER,Truffade
BUFFALO,BUFFALO,Bravado
BUFFALO2,BUFFALO02,Bravado
BUFFALO3,BUFFALO3,Bravado
BULLDOZER,BULLDOZE,HVY
BULLET,BULLET,Vapid
BURRITO,BURRITO,Declasse
BURRITO2,BURRITO,Declasse
BURRITO3,BURRITO,Declasse
BURRITO4,BURRITO,Declasse
BURRITO5,BURRITO,Declasse
BUS,BUS,nil
BUZZARD,BUZZARD,nil
BUZZARD2,BUZZARD2,nil
CABLECAR,CABLECAR,nil
CADDY,CADDY,nil
CADDY2,CADDY,nil
CAMPER,CAMPER,Brute
CARBONIZZARE,CARBONIZ,Grotti
CARBONRS,CARBON,Nagasaki
CARGOBOB,CARGOBOB,nil
CARGOBOB2,CARGOBOB,nil
CARGOBOB3,CARGOBOB,nil
CARGOBOB4,CARGOBOB,nil
CARGOPLANE,CARGOPL,nil
CASCO,CASCO,Lampadati
CAVALCADE,CAVCADE,Albany
CAVALCADE2,CAVCADE,Albany
CHEETAH,CHEETAH,Grotti
CHINO,CHINO,Vapid
CHINO2,CHINO2,Vapid
COACH,COACH,nil
COG55,COG55,Enus
COG552,COG552,Enus
COGCABRIO,COGCABRI,Enus
COGNOSCENTI,COGNOSC,Enus
COGNOSCENTI2,COGNOSC2,Enus
COMET2,COMET2,Pfister
COQUETTE,COQUETTE,Invetero
COQUETTE2,COQUETTE2,Invetero
COQUETTE3,COQUETTE3,Invetero
CRUISER,CRUISER,nil
CRUSADER,CRUSADER,Canis
CUBAN800,CUBAN800,nil
CUTTER,CUTTER,HVY
DAEMON,DAEMON,Western
DILETTANTE,DILETTAN,Karin
DILETTANTE2,DILETTAN,Karin
DINGHY,DINGHY,Nagasaki
DINGHY2,DINGHY,Nagasaki
DINGHY3,DINGHY,Nagasaki
DINGHY4,DINGHY,Nagasaki
DLOADER,DLOADER,Bravado
DOCKTRAILER,DOCKTRAILER,nil
DOCKTUG,DOCKTUG,nil
DODO,DODO,Mammoth
DOMINATOR,DOMINATO,Vapid
DOMINATOR2,DOMINATO2,Vapid
DOUBLE,DOUBLE,Dinka
DUBSTA,DUBSTA,Benefactor
DUBSTA2,DUBSTA,Benefactor
DUBSTA3,DUBSTA3,Benefactor
DUKES,DUKES,Imponte
DUKES2,DUKES2,Imponte
DUMP,DUMP,HVY
DUNE,DUNE,BF
DUNE2,DUNE2,nil
DUSTER,DUSTER,nil
ELEGY2,ELEGY2,Annis
EMPEROR,EMPEROR,Albany
EMPEROR2,EMPEROR,Albany
EMPEROR3,EMPEROR,Albany
ENDURO,ENDURO,Dinka
ENTITYXF,ENTITYXF,Overflod
EXEMPLAR,EXEMPLAR,Dewbauchee
F620,F620,Ocelot
FACTION,FACTION,Willard
FACTION2,FACTION2,Willard
FACTION3,FACTION3,Willard
FAGGIO2,FAGGIO,Pegassi
FBI,FBI,nil
FBI2,FBI2,nil
FELON,FELON,Lampadati
FELON2,FELON2,Lampadati
FELTZER2,FELTZER,Benefactor
FELTZER3,FELTZER3,Benefactor
FIRETRUK,FIRETRUK,nil
FIXTER,FIXTER,nil
FLATBED,FLATBED,MTL
FORKLIFT,FORK,HVY
FQ2,FQ2,Fathom
FREIGHT,FREIGHT,nil
FREIGHTCAR,FREIGHT,nil
FREIGHTCONT1,FREIGHT,nil
FREIGHTCONT2,FREIGHT,nil
FREIGHTGRAIN,FREIGHT,nil
FREIGHTTRAILER,FREIGHTTRAILER,nil
FROGGER,FROGGER,nil
FROGGER2,FROGGER,nil
FUGITIVE,FUGITIVE,Cheval
FUROREGT,FURORE,Lampadati
FUSILADE,FUSILADE,Schyster
FUTO,FUTO,Karin
GAUNTLET,GAUNTLET,Bravado
GAUNTLET2,GAUNTLET2,Bravado
GBURRITO,GBURRITO,Declasse
GBURRITO2,GBURRITO2,Declasse
GLENDALE,GLENDALE,Benefactor
GRAINTRAILER,GRAINTRAILER,nil
GRANGER,GRANGER,Declasse
GRESLEY,GRESLEY,Bravado
GUARDIAN,GUARDIAN,Vapid
HABANERO,HABANERO,Emperor
HAKUCHOU,HAKUCHOU,Shitzu
HANDLER,HANDLER,nil
HAULER,HAULER,Jobuilt
HEXER,HEXER,LCC
HOTKNIFE,HOTKNIFE,Vapid
HUNTLEY,HUNTLEY,Enus
HYDRA,HYDRA,Mammoth
INFERNUS,INFERNUS,Pegassi
INGOT,INGOT,Vulcar
INNOVATION,INNOVATION,LCC
INSURGENT,INSURGENT,HVY
INSURGENT2,INSURGENT2,HVY
INTRUDER,INTRUDER,Karin
ISSI2,ISSI2,Weeny
JACKAL,JACKAL,Ocelot
JB700,JB700,Dewbauchee
JESTER,JESTER,Dinka
JESTER2,JESTER2,Dinka
JET,JET,nil
JETMAX,JETMAX,Shitzu
JOURNEY,JOURNEY,Zirconium
KALAHARI,KALAHARI,Canis
KHAMELION,KHAMEL,Hijak
KURUMA,KURUMA,Karin
KURUMA2,KURUMA2,Karin
LANDSTALKER,LANDSTAL,Dundreary
LAZER,LAZER,nil
LECTRO,LECTRO,Principe
LGUARD,LGUARD,nil
LIMO2,LIMO2,Benefactor
LURCHER,LURCHER,Albany
LUXOR,LUXOR,Buckingham
LUXOR2,LUXOR2,Buckingham
MAMBA,MAMBA,Declasse
MAMMATUS,MAMMATUS,nil
MANANA,MANANA,Albany
MARQUIS,MARQUIS,Dinka
MARSHALL,MARSHALL,Cheval
MASSACRO,MASSACRO,Dewbauchee
MASSACRO2,MASSACRO2,Dewbauchee
MAVERICK,MAVERICK,nil
MESA,MESA,Canis
MESA2,MESA,Canis
MESA3,MESA,Canis
METROTRAIN,FREIGHT,nil
MILJET,MILJET,Buckingham
MINIVAN,MINIVAN,Vapid
MINIVAN2,MINIVAN2,Vapid
MIXER,MIXER,HVY
MIXER2,MIXER2,HVY
MONROE,MONROE,Pegassi
MONSTER,MONSTER,Vapid
MOONBEAM,MOONBEAM,Declasse
MOONBEAM2,MOONBEAM2,Declasse
MOWER,MOWER,nil
MULE,MULE,Maibatsu
MULE2,MULE,Maibatsu
MULE3,MULE,Maibatsu
NEMESIS,NEMESIS,Principe
NIGHTSHADE,NITESHAD,Imponte
NINEF,NINEF,Obey
NINEF2,NINEF2,Obey
ORACLE,ORACLE2,Ubermacht
ORACLE2,ORACLE,Ubermacht
OSIRIS,OSIRIS,Pegassi
PACKER,PACKER,MTL
PANTO,PANTO,Benefactor
PARADISE,PARADISE,Bravado
PATRIOT,PATRIOT,Mammoth
PBUS,PBUS,nil
PCJ,PCJ,Shitzu
PENUMBRA,PENUMBRA,Maibatsu
PEYOTE,PEYOTE,Vapid
PHANTOM,PHANTOM,Jobuilt
PHOENIX,PHOENIX,Imponte
PICADOR,PICADOR,Cheval
PIGALLE,PIGALLE,Lampadati
POLICE,POLICE,nil
POLICE2,POLICE2,nil
POLICE3,POLICE,nil
POLICE4,POLICE4,nil
POLICEB,POLICEB,nil
POLICEOLD1,POLICEO1,nil
POLICEOLD2,POLICEO2,nil
POLICET,POLICET,nil
POLMAV,POLMAV,nil
PONY,PONY,Brute
PONY2,PONY,Brute
POUNDER,POUNDER,MTL
PRAIRIE,PRAIRIE,Bollokan
PRANGER,PRANGER,nil
PREDATOR,PREDATOR,nil
PREMIER,PREMIER,Declasse
PRIMO,PRIMO,Albany
PRIMO2,PRIMO2,Albany
PROPTRAILER,PROPTRAILER,nil
RADI,RADI,Vapid
RAKETRAILER,TRAILER,nil
RANCHERXL,RANCHERX,Declasse
RANCHERXL2,RANCHERX,Declasse
RAPIDGT,RAPIDGT,Dewbauchee
RAPIDGT2,RAPIDGT,Dewbauchee
RATLOADER,RLOADER,nil
RATLOADER2,RLOADER2,Bravado
REBEL,REBEL01,Karin
REBEL2,REBEL02,Karin
REGINA,REGINA,Dundreary
RENTALBUS,RENTBUS,nil
RHAPSODY,RHAPSODY,Declasse
RHINO,RHINO,nil
RIOT,RIOT,nil
RIPLEY,RIPLEY,nil
ROCOTO,ROCOTO,Obey
ROMERO,ROMERO,Chariot
RUBBLE,RUBBLE,Jobuilt
RUFFIAN,RUFFIAN,Pegassi
RUINER,RUINER,Imponte
RUMPO,RUMPO,Bravado
RUMPO2,RUMPO,Bravado
SABREGT,SABREGT,Declasse
SABREGT2,SABREGT2,Declasse
SADLER,SADLER,Vapid
SADLER2,SADLER,Vapid
SANCHEZ,SANCHEZ01,Maibatsu
SANCHEZ2,SANCHEZ02,Maibatsu
SANDKING,SANDKING,Vapid
SANDKING2,SANDKIN2,Vapid
SAVAGE,SAVAGE,nil
SCHAFTER2,SCHAFTER,Benefactor
SCHAFTER3,SCHAFTER3,Benefactor
SCHAFTER4,SCHAFTER4,Benefactor
SCHAFTER5,SCHAFTER5,Benefactor
SCHAFTER6,SCHAFTER6,Benefactor
SCHWARZER,SCHWARZE,Benefactor
SCORCHER,SCORCHER,nil
SCRAP,SCRAP,nil
SEASHARK,SEASHARK,Speedophile
SEASHARK2,SEASHARK,Speedophile
SEASHARK3,SEASHARK,Speedophile
SEMINOLE,SEMINOLE,Canis
SENTINEL,SENTINEL,Ubermacht
SENTINEL2,SENTINEL2,Ubermacht
SERRANO,SERRANO,Benefactor
SHAMAL,SHAMAL,Buckingham
SHERIFF,SHERIFF,nil
SHERIFF2,SHERIFF2,nil
SKYLIFT,SKYLIFT,nil
SLAMVAN,SLAMVAN,Vapid
SLAMVAN2,SLAMVAN2,Vapid
SLAMVAN3,SLAMVAN3,Vapid
SOVEREIGN,SOVEREIGN,Western
SPEEDER,SPEEDER,Pegassi
SPEEDER2,SPEEDER,Pegassi
SPEEDO,SPEEDO,Vapid
SPEEDO2,SPEEDO2,Vapid
SQUALO,SQUALO,Shitzu
STALION,STALION,Declasse
STALION2,STALION2,Declasse
STANIER,STANIER,Vapid
STINGER,STINGER,Grotti
STINGERGT,STINGERG,Grotti
STOCKADE,STOCKADE,Brute
STOCKADE3,STOCKADE,Brute
STRATUM,STRATUM,Zirconium
STRETCH,STRETCH,Dundreary
STUNT,STUNT,nil
SUBMERSIBLE,SUBMERS,nil
SUBMERSIBLE2,SUBMERS2,nil
SULTAN,SULTAN,Karin
SULTANRS,SULTANRS,Karin
SUNTRAP,SUNTRAP,Shitzu
SUPERD,SUPERD,Enus
SUPERVOLITO,SVOLITO,Buckingham
SUPERVOLITO2,SVOLITO2,Buckingham
SURANO,SURANO,Benefactor
SURFER,SURFER,BF
SURFER2,SURFER2,BF
SURGE,SURGE,Cheval
SWIFT,SWIFT,Buckingham
SWIFT2,SWIFT2,Buckingham
T20,T20,Progen
TACO,TACO,nil
TAILGATER,TAILGATE,Obey
TAMPA,TAMPA,Declasse
TANKER,TRAILER,nil
TANKER2,TANKER,nil
TANKERCAR,FREIGHT,nil
TAXI,TAXI,nil
TECHNICAL,TECHNICAL,Karin
THRUST,THRUST,Dinka
TIPTRUCK,TIPTRUCK,Brute
TIPTRUCK2,TIPTRUCK2,nil
TITAN,TITAN,nil
TORNADO,TORNADO,Declasse
TORNADO2,TORNADO2,Declasse
TORNADO3,TORNADO3,Declasse
TORNADO4,TORNADO,Declasse
TORNADO5,TORNADO,Declasse
TORO,TORO,Lampadati
TORO2,TORO,Lampadati
TOURBUS,TOURBUS,nil
TOWTRUCK,TOWTRUCK,nil
TOWTRUCK2,TOWTRUCK,nil
TR2,TRAILER,nil
TR3,TRAILER,nil
TR4,TRAILER,nil
TRACTOR,TRACTOR,nil
TRACTOR2,TRACTOR2,Stanley
TRACTOR3,TRACTOR2,Stanley
TRAILERLOGS,TRAILER,nil
TRAILERS,TRAILER,nil
TRAILERS2,TRAILER,nil
TRAILERS3,TRAILERS3,nil
TRAILERSMALL,TRAILER,nil
TRASH,TRASH,nil
TRASH2,TRASH,nil
TRFLAT,TRAILER,nil
TRIBIKE,TRIBIKE,nil
TRIBIKE2,TRIBIKE2,nil
TRIBIKE3,TRIBIKE3,nil
TROPIC,TROPIC,Shitzu
TROPIC2,TROPIC,Shitzu
TURISMOR,TURISMOR,Grotti
TVTRAILER,TRAILER,nil
UTILLITRUCK,UTILTRUC,nil
UTILLITRUCK2,UTILTRUC,nil
UTILLITRUCK3,UTILTRUC,nil
VACCA,VACCA,Pegassi
VADER,VADER,Shitzu
VALKYRIE,VALKYRIE,nil
VALKYRIE2,VALKYRI2,nil
VELUM,VELUM,nil
VELUM2,VELUM2,nil
VERLIERER2,VERLIER,Bravado
VESTRA,VESTRA,Buckingham
VIGERO,VIGERO,Declasse
VINDICATOR,VINDICATOR,Dinka
VIRGO,VIRGO,Albany
VIRGO2,VIRGO2,Albany
VIRGO3,VIRGO3,Albany
VOLTIC,VOLTIC,Coil
VOODOO,VOODOO2,Declasse
VOODOO2,VOODOO,Declasse
WARRENER,WARRENER,Vulcar
WASHINGTON,WASHINGT,Albany
WINDSOR,WINDSOR,Enus
YOUGA,YOUGA,Bravado
ZENTORNO,ZENTORNO,Pegassi
ZION,ZION,Ubermacht
ZION2,ZION2,Ubermacht
ZTYPE,ZTYPE,Truffade
